Region,Serpo,Name,Username,Password
JBRO (Jabo+Sukabumi),Karawang Timur,KarawangTimur,KarawangTimur@mandau.id,123321
JBRO (Jabo+Sukabumi),Panimbang,Panimbang,Panimbang@mandau.id,123321
JBRO (Jabo+Sukabumi),Tangerang Selatan,TangerangSelatan,TangerangSelatan@mandau.id,123321
WJRO (West Java),Bandung 1,Bandung1,Bandung1@mandau.id,123321
WJRO (West Java),Bandung 2,Bandung2,Bandung2@mandau.id,123321
WJRO (West Java),Banjar,Banjar,Banjar@mandau.id,123321
WJRO (West Java),Ciamis,Ciamis,Ciamis@mandau.id,123321
WJRO (West Java),Cirebon 1,Cirebon1,Cirebon1@mandau.id,123321
WJRO (West Java),Cirebon 2,Cirebon2,Cirebon2@mandau.id,123321
WJRO (West Java),Tasikmalaya Selatan,TasikmalayaSelatan,TasikmalayaSelatan@mandau.id,123321
WJRO (West Java),Garut Utara,GarutUtara,GarutUtara@mandau.id,123321
WJRO (West Java),Majalengka,Majalengka,Majalengka@mandau.id,123321
WJRO (West Java),Garut Selatan,GarutSelatan,GarutSelatan@mandau.id,123321
WJRO (West Java),Sukanagara,Sukanagara,Sukanagara@mandau.id,123321
WJRO (West Java),Subang,Subang,Subang@mandau.id,123321
CJRO (Central Java),Bumiayu,Bumiayu,Bumiayu@mandau.id,123321
CJRO (Central Java),Sokaraja,Sokaraja,Sokaraja@mandau.id,123321
CJRO (Central Java),Purwodadi,Purwodadi,Purwodadi@mandau.id,123321
CJRO (Central Java),Magelang,Magelang,Magelang@mandau.id,123321
CJRO (Central Java),Temanggung,Temanggung,Temanggung@mandau.id,123321
CJRO (Central Java),purwokerto,purwokerto,purwokerto@mandau.id,123321
CJRO (Central Java),Salatiga,Salatiga,Salatiga@mandau.id,123321
CJRO (Central Java),Solo,Solo,Solo@mandau.id,123321
CJRO (Central Java),Yogyakarta,Yogyakarta,Yogyakarta@mandau.id,123321
CJRO (Central Java),Sleman,Sleman,Sleman@mandau.id,123321
CJRO (Central Java),Sragen,Sragen,Sragen@mandau.id,123321
CJRO (Central Java),Wonosari,Wonosari,Wonosari@mandau.id,123321
SSRO (South Sumatera),Abung Selatan,AbungSelatan,AbungSelatan@mandau.id,123321
SSRO (South Sumatera),Batam 01,Batam01,Batam01@mandau.id,123321
SSRO (South Sumatera),IOH Batam 02,Batam02,Batam02@mandau.id,123321
SSRO (South Sumatera),IOH Bengkulu 02,Bengkulu02,Bengkulu02@mandau.id,123321
SSRO (South Sumatera),IOH Gn Batin / Menggala,GnBatin_Menggala,GnBatin_Menggala@mandau.id,123321
SSRO (South Sumatera),IOH Kota Agung / Pringsewu,KotaAgung_Pringsewu,KotaAgung_Pringsewu@mandau.id,123321
SSRO (South Sumatera),IOH Krui,Krui,Krui@mandau.id,123321
SSRO (South Sumatera),IOH Martapura,Martapura,Martapura@mandau.id,123321
SSRO (South Sumatera),IOH Metro,Metro,Metro@mandau.id,123321
SSRO (South Sumatera),IOH Muara Bungo,MuaraBungo,MuaraBungo@mandau.id,123321
SSRO (South Sumatera),IOH OKI Tugumulyo,OKITugumulyo,OKITugumulyo@mandau.id,123321
SSRO (South Sumatera),IOH Sribawono,Sribawono,Sribawono@mandau.id,123321
SSRO (South Sumatera),IOH Tanjungan ( Liwa ),Tanjungan(Liwa),Tanjungan(Liwa)@mandau.id,123321
SSRO (South Sumatera),Lampung 01,Lampung01,Lampung01@mandau.id,123321
SSRO (South Sumatera),Lampung 02 ( Kedaton ),Lampung02(Kedaton),Lampung02(Kedaton)@mandau.id,123321
SSRO (South Sumatera),Lubuk Linggau 01,LubukLinggau01,LubukLinggau01@mandau.id,123321
SSRO (South Sumatera),Muara Enim,MuaraEnim,MuaraEnim@mandau.id,123321
SSRO (South Sumatera),Palembang 01,Palembang01,Palembang01@mandau.id,123321
SSRO (South Sumatera),Palembang 02,Palembang02,Palembang02@mandau.id,123321
SSRO (South Sumatera),Prabumulih,Prabumulih,Prabumulih@mandau.id,123321
SSRO (South Sumatera),Pulau Negara,PulauNegara,PulauNegara@mandau.id,123321
NSRO (North Sumatera),Banda Aceh,BandaAceh,BandaAceh@mandau.id,123321
NSRO (North Sumatera),Lhouksemawe,Lhouksemawe,Lhouksemawe@mandau.id,123321
NSRO (North Sumatera),Pelawi,Pelawi,Pelawi@mandau.id,123321
KRO (Kalimantan),Banjarmasin 3,Banjarmasin3,Banjarmasin3@mandau.id,123321
KRO (Kalimantan),Balikpapan 2,Balikpapan2,Balikpapan2@mandau.id,123321
JBRO (Jabo+Sukabumi),Jakarta Pusat,JakartaPusat,JakartaPusat@mandau.id,123321
JBRO (Jabo+Sukabumi),Jakarta Timur,JakartaTimur,JakartaTimur@mandau.id,123321
JBRO (Jabo+Sukabumi),Jakarta Utara,JakartaUtara,JakartaUtara@mandau.id,123321
CJRO (Central Java),Semarang 3,Semarang3,Semarang3@mandau.id,123321
CJRO (Central Java),Pekalongan,Pekalongan,Pekalongan@mandau.id,123321
CJRO (Central Java),Semarang 1,Semarang1,Semarang1@mandau.id,123321
CJRO (Central Java),Kendal,Kendal,Kendal@mandau.id,123321
CJRO (Central Java),Tegal,Tegal,Tegal@mandau.id,123321
WJRO (West Java),Bandung 3,Bandung3,Bandung3@mandau.id,123321
WJRO (West Java),Cianjur,Cianjur,Cianjur@mandau.id,123321
KRO (Kalimantan),Singkawang,Singkawang,Singkawang@mandau.id,123321
KRO (Kalimantan),Ketapang,Ketapang,Ketapang@mandau.id,123321
KRO (Kalimantan),Pahuman,Pahuman,Pahuman@mandau.id,123321
KRO (Kalimantan),Pontianak 2,Pontianak2,Pontianak2@mandau.id,123321
KRO (Kalimantan),Pontianak 1,Pontianak1,Pontianak1@mandau.id,123321
KRO (Kalimantan),Sanggau,Sanggau,Sanggau@mandau.id,123321
KRO (Kalimantan),Semitau,Semitau,Semitau@mandau.id,123321
KRO (Kalimantan),Sintang,Sintang,Sintang@mandau.id,123321
KRO (Kalimantan),Banjarmasin 1,Banjarmasin1,Banjarmasin1@mandau.id,123321
KRO (Kalimantan),Banjarmasin 2,Banjarmasin2,Banjarmasin2@mandau.id,123321
KRO (Kalimantan),Barabai,Barabai,Barabai@mandau.id,123321
KRO (Kalimantan),Batu Licin,BatuLicin,BatuLicin@mandau.id,123321
KRO (Kalimantan),Tanjung,Tanjung,Tanjung@mandau.id,123321
KRO (Kalimantan),Tanah Grogot,TanahGrogot,TanahGrogot@mandau.id,123321
KRO (Kalimantan),Palangkaraya,Palangkaraya,Palangkaraya@mandau.id,123321
KRO (Kalimantan),Pangkalan Bun,PangkalanBun,PangkalanBun@mandau.id,123321
KRO (Kalimantan),Nangabulik,Nangabulik,Nangabulik@mandau.id,123321
KRO (Kalimantan),Sampit,Sampit,Sampit@mandau.id,123321
KRO (Kalimantan),Balikpapan 1,Balikpapan1,Balikpapan1@mandau.id,123321
KRO (Kalimantan),Petung,Petung,Petung@mandau.id,123321
KRO (Kalimantan),Bengalon,Bengalon,Bengalon@mandau.id,123321
KRO (Kalimantan),Bontang,Bontang,Bontang@mandau.id,123321
KRO (Kalimantan),Jambuk,Jambuk,Jambuk@mandau.id,123321
KRO (Kalimantan),Melak,Melak,Melak@mandau.id,123321
KRO (Kalimantan),Kota Bangun,KotaBangun,KotaBangun@mandau.id,123321
KRO (Kalimantan),Samarinda 1,Samarinda1,Samarinda1@mandau.id,123321
KRO (Kalimantan),Samarinda 2,Samarinda2,Samarinda2@mandau.id,123321
KRO (Kalimantan),Sempaja,Sempaja,Sempaja@mandau.id,123321
KRO (Kalimantan),Tapin,Tapin,Tapin@mandau.id,123321
NSRO (North Sumatera),Langsa,Langsa,Langsa@mandau.id,123321
NSRO (North Sumatera),Medan BB,MedanBB,MedanBB@mandau.id,123321
NSRO (North Sumatera),Tebing Tinggi,TebingTinggi,TebingTinggi@mandau.id,123321
NSRO (North Sumatera),Sigli,Sigli,Sigli@mandau.id,123321
NSRO (North Sumatera),Jadijaya,Jadijaya,Jadijaya@mandau.id,123321
NSRO (North Sumatera),Sripinang/Kota Pinang,Sripinang_KotaPinang,Sripinang_KotaPinang@mandau.id,123321
NSRO (North Sumatera),Tarutung,Tarutung,Tarutung@mandau.id,123321
NSRO (North Sumatera),Selensen,Selensen,Selensen@mandau.id,123321
NSRO (North Sumatera),Bangkinang,Bangkinang,Bangkinang@mandau.id,123321
NSRO (North Sumatera),Dharmasraya,Dharmasraya,Dharmasraya@mandau.id,123321
NSRO (North Sumatera),Kotanopan,Kotanopan,Kotanopan@mandau.id,123321
JBRO (Jabo+Sukabumi),Sukabumi Selatan,SukabumiSelatan,SukabumiSelatan@mandau.id,123321
JBRO (Jabo+Sukabumi),Sukabumi Utara,SukabumiUtara,SukabumiUtara@mandau.id,123321
WJRO (West Java),Purwakarta 1,Purwakarta1,Purwakarta1@mandau.id,123321
CJRO (Central Java),Kudus,Kudus,Kudus@mandau.id,123321
CJRO (Central Java),Pati,Pati,Pati@mandau.id,123321
KRO (Kalimantan),Muara Teweh,MuaraTeweh,MuaraTeweh@mandau.id,123321
KRO (Kalimantan),Sambas,Sambas,Sambas@mandau.id,123321
KRO (Kalimantan),Tarakan,Tarakan,Tarakan@mandau.id,123321
CJRO (Central Java),Cilacap,Cilacap,Cilacap@mandau.id,123321
CJRO (Central Java),Klaten,Klaten,Klaten@mandau.id,123321
WJRO (West Java),Kuningan,Kuningan,Kuningan@mandau.id,123321
WJRO (West Java),Indramayu,Indramayu,Indramayu@mandau.id,123321
SSRO (South Sumatera),Bengkulu 01,Bengkulu01,Bengkulu01@mandau.id,123321
SSRO (South Sumatera),Curup,Curup,Curup@mandau.id,123321
SSRO (South Sumatera),Sungai Penuh,SungaiPenuh,SungaiPenuh@mandau.id,123321
SSRO (South Sumatera),IOH Lubuk Linggau 02,LubukLinggau02,LubukLinggau02@mandau.id,123321
SSRO (South Sumatera),IOH Manna,Manna,Manna@mandau.id,123321
SSRO (South Sumatera),IOH Pagar Alam,PagarAlam,PagarAlam@mandau.id,123321
SSRO (South Sumatera),IOH Palembang 03,Palembang03,Palembang03@mandau.id,123321
SSRO (South Sumatera),Lahat,Lahat,Lahat@mandau.id,123321
SSRO (South Sumatera),IOH Pangkal Pinang,PangkalPinang,PangkalPinang@mandau.id,123321
SSRO (South Sumatera),IOH Sarolangun,Sarolangun,Sarolangun@mandau.id,123321
SSRO (South Sumatera),Jambi 01,Jambi01,Jambi01@mandau.id,123321
NSRO (North Sumatera),Merangin,Merangin,Merangin@mandau.id,123321
NSRO (North Sumatera),Dusun Mundo,DusunMundo,DusunMundo@mandau.id,123321
SSRO (South Sumatera),Bayung Lincir / Tempino,BayungLincir_Tempino,BayungLincir_Tempino@mandau.id,123321
SSRO (South Sumatera),Sungai Lilin,SungaiLilin,SungaiLilin@mandau.id,123321
SSRO (South Sumatera),IOH Sekayu,Sekayu,Sekayu@mandau.id,123321
CJRO (Central Java),Kebumen,Kebumen,Kebumen@mandau.id,123321
CJRO (Central Java),Semarang 2,Semarang2,Semarang2@mandau.id,123321
SSRO (South Sumatera),IOH Kuala Tungkal / Sangeti,KualaTungkal_Sangeti,KualaTungkal_Sangeti@mandau.id,123321
CJRO (Central Java),Losari,Losari,Losari@mandau.id,123321
NSRO (North Sumatera),Teluk Kuantan,TelukKuantan,TelukKuantan@mandau.id,123321
JBRO (Jabo+Sukabumi),Jakarta Barat,JakartaBarat,JakartaBarat@mandau.id,123321
WJRO (West Java),Ciwidey,Ciwidey,Ciwidey@mandau.id,123321
WJRO (West Java),Purwakarta 2,Purwakarta2,Purwakarta2@mandau.id,123321
WJRO (West Java),Sindangbarang,Sindangbarang,Sindangbarang@mandau.id,123321
WJRO (West Java),Tasikmalaya Utara,TasikmalayaUtara,TasikmalayaUtara@mandau.id,123321
KRO (Kalimantan),Nanga Tayap,NangaTayap,NangaTayap@mandau.id,123321
KRO (Kalimantan),Bengkayang,Bengkayang,Bengkayang@mandau.id,123321
KRO (Kalimantan),Simpang Tayan,SimpangTayan,SimpangTayan@mandau.id,123321
KRO (Kalimantan),Gunung Purei,GunungPurei,GunungPurei@mandau.id,123321
KRO (Kalimantan),Muara Wahau,MuaraWahau,MuaraWahau@mandau.id,123321
CJRO (Central Java),Blora,Blora,Blora@mandau.id,123321
CJRO (Central Java),Pemalang,Pemalang,Pemalang@mandau.id,123321
CJRO (Central Java),Rembang,Rembang,Rembang@mandau.id,123321
NSRO (North Sumatera),Natal,Natal,Natal@mandau.id,123321
NSRO (North Sumatera),Takengon,Takengon,Takengon@mandau.id,123321
SSRO (South Sumatera),Sungai Ayam,SungaiAyam,SungaiAyam@mandau.id,123321
SSRO (South Sumatera),Talangkawo,Talangkawo,Talangkawo@mandau.id,123321
KRO (Kalimantan),KM.38,KM.38,KM.38@mandau.id,123321
NSRO (North Sumatera),Tiga Binanga,TigaBinanga,TigaBinanga@mandau.id,123321
KRO (Kalimantan),Putussibau,Putussibau,Putussibau@mandau.id,123321
